tick,target_weapon_melee,target_weapon_mage,target_weapon_ranged,target_melee_atk_bonus,target_magic_atk_bonus,target_ranged_atk_bonus,target_melee_str_bonus,target_magic_str_bonus,target_ranged_str_bonus,target_distance,target_frozen_ticks,target_attack_cycle_ticks,target_special_percent,target_just_attacked,target_has_magic_spec_weapon,target_equipped_weapon_spec_cost,player_hp_pct,actual_attack_style
--- NEW FIGHT STARTED @ 2026-04-20 20:38:45 ---
tick,target_weapon_melee,target_weapon_mage,target_weapon_ranged,target_melee_atk_bonus,target_magic_atk_bonus,target_ranged_atk_bonus,target_melee_str_bonus,target_magic_str_bonus,target_ranged_str_bonus,target_distance,target_frozen_ticks,target_attack_cycle_ticks,target_special_percent,target_just_attacked,target_has_magic_spec_weapon,target_equipped_weapon_spec_cost,player_hp_pct,actual_attack_style
102,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,7.0,29.0,0.0,60.0,0.0,1,75.0,0.5959596037864685,3.0
103,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,7.0,28.0,4.0,60.0,1.0,1,75.0,0.5959596037864685,3.0
104,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,6.0,27.0,3.0,60.0,0.0,1,75.0,0.5959596037864685,3.0
105,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,6.0,26.0,2.0,60.0,0.0,1,75.0,0.38383838534355164,3.0
106,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,4.0,25.0,1.0,60.0,0.0,1,75.0,0.6060606241226196,3.0
107,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,6.0,24.0,0.0,60.0,0.0,1,75.0,0.6060606241226196,3.0
108,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,5.0,23.0,4.0,60.0,1.0,1,75.0,0.6060606241226196,3.0
109,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,4.0,22.0,3.0,60.0,0.0,1,75.0,0.6060606241226196,3.0
110,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,4.0,21.0,2.0,60.0,0.0,1,75.0,0.6060606241226196,3.0
111,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,5.0,20.0,1.0,60.0,0.0,1,75.0,0.6060606241226196,3.0
112,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,6.0,19.0,0.0,60.0,0.0,1,75.0,0.6060606241226196,3.0
113,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,5.0,18.0,4.0,60.0,1.0,1,75.0,0.6060606241226196,3.0
114,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,4.0,17.0,3.0,60.0,0.0,1,75.0,0.6060606241226196,3.0
115,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,5.0,16.0,2.0,60.0,0.0,1,75.0,0.42424243688583374,3.0
116,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,5.0,15.0,1.0,60.0,0.0,1,75.0,0.6464646458625793,3.0
117,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,5.0,14.0,0.0,60.0,0.0,1,75.0,0.6464646458625793,3.0
118,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,4.0,13.0,2.0,60.0,0.0,1,75.0,0.6464646458625793,3.0
119,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,6.0,12.0,1.0,60.0,0.0,1,75.0,0.6464646458625793,3.0
120,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,5.0,11.0,0.0,60.0,0.0,1,75.0,0.6464646458625793,3.0
121,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,7.0,10.0,4.0,60.0,1.0,1,75.0,0.6464646458625793,3.0
122,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,5.0,9.0,3.0,60.0,0.0,1,75.0,0.6464646458625793,3.0
123,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,4.0,8.0,2.0,60.0,0.0,1,75.0,0.6363636255264282,3.0
124,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,4.0,7.0,1.0,60.0,0.0,1,75.0,0.6363636255264282,3.0
